Code,Country,NUTS level 1,NUTS level 2
ES13,Spain,Northwest,Cantabria
ES2,Spain,Northeast,
ES21,Spain,Northeast,País Vasco
ES22,Spain,Northeast,Comunidad Foral de Navarra
ES23,Spain,Northeast,La Rioja
ES24,Spain,Northeast,Aragón
ES3,Spain,Madrid's community,
ES30,Spain,Madrid's community,
ES4,Spain,Center,
ES41,Spain,Center,Castilla y León
ES42,Spain,Center,Castilla-La Mancha
ES43,Spain,Center,Extremadura
ES5,Spain,East,
ES51,Spain,East,Cataluña
ES52,Spain,East,Comunitat Valenciana 
ES53,Spain,East,Illes Balears
ES6,Spain,South,
ES61,Spain,South,Andalucía
ES62,Spain,South,Región de Murcia
ES63,Spain,South,Ciudad de Ceuta
ES64,Spain,South,Ciudad de Melilla
ES7,Spain,Canary Islands,
ES70,Spain,Canary Islands,
FI1,Finland,Manner-Suomi,
FI19,Finland,Manner-Suomi,Länsi-Suomi
FI1B,Finland,Manner-Suomi,Helsinki-Uusimaa
FI1C,Finland,Manner-Suomi,Etelä-Suomi
FI1D,Finland,Manner-Suomi,Pohjois- ja Itä-Suomi
FI2,Finland,Åland,
FI20,Finland,Åland,
FR1,France,Ile-de-France,
FR10,France,Ile-de-France,
FRB,France,Centre — Val de Loire,
FRB0,France,Centre — Val de Loire,
FRC,France,Bourgogne-Franche-Comté,
FRC1,France,Bourgogne-Franche-Comté,Bourgogne
FRC2,France,Bourgogne-Franche-Comté,Franche-Comté
FRD,France,Normandie,
FRD1,France,Normandie,Basse-Normandie 
FRD2,France,Normandie,Haute-Normandie 
FRE,France,Hauts-de-France,
FRE1,France,Hauts-de-France,Nord-Pas de Calais
FRE2,France,Hauts-de-France,Picardie
FRF,France,Grand Est,
FRF1,France,Grand Est,Alsace
FRF2,France,Grand Est,Champagne-Ardenne
FRF3,France,Grand Est,Lorraine
FRG,France,Pays de la Loire,
FRG0,France,Pays de la Loire,
FRH,France,Bretagne,
FRH0,France,Bretagne,
FRI,France,Nouvelle-Aquitaine,
FRI1,France,Nouvelle-Aquitaine,Aquitaine
FRI2,France,Nouvelle-Aquitaine,Limousin
FRI3,France,Nouvelle-Aquitaine,Poitou-Charentes
FRJ,France,Occitanie,
FRJ1,France,Occitanie,Languedoc-Roussillon
FRJ2,France,Occitanie,Midi-Pyrénées
FRK,France,Auvergne-Rhône-Alpes,
FRK1,France,Auvergne-Rhône-Alpes,Auvergne
FRK2,France,Auvergne-Rhône-Alpes,Rhône-Alpes
FRL,France,Provence-Alpes-Côte d’Azur,
FRL0,France,Provence-Alpes-Côte d’Azur,
FRM,France,Corse,
FRM0,France,Corse,
FRY,France,RUP FR — Régions Ultrapériphériques Françaises,
FRY1,France,RUP FR — Régions Ultrapériphériques Françaises,Guadeloupe
FRY2,France,RUP FR — Régions Ultrapériphériques Françaises,Martinique 
FRY3,France,RUP FR — Régions Ultrapériphériques Françaises,Guyane
FRY4,France,RUP FR — Régions Ultrapériphériques Françaises,La Réunion 
FRY5,France,RUP FR — Régions Ultrapériphériques Françaises,Mayotte
HR0,Croatia,Hrvatska,
HR02,Croatia,Hrvatska,Panonska Hrvatska
HR03,Croatia,Hrvatska,Jadranska Hrvatska
HR05,Croatia,Hrvatska,Grad Zagreb
HR06,Croatia,Hrvatska,Sjeverna Hrvatska
HU1,Hungary,Közép-Magyarország,
HU11,Hungary,Közép-Magyarország,Budapest
HU12,Hungary,Közép-Magyarország,Pest
HU2,Hungary,Dunántúl,
HU21,Hungary,Dunántúl,Közép-Dunántúl
HU22,Hungary,Dunántúl,Nyugat-Dunántúl
HU23,Hungary,Dunántúl,Dél-Dunántúl
HU3,Hungary,Alföld és Észak,
HU31,Hungary,Alföld és Észak,Észak-Magyarország
HU32,Hungary,Alföld és Észak,Észak-Alföld
HU33,Hungary,Alföld és Észak,Dél-Alföld
IE0,Ireland,Ireland,
IE04,Ireland,Ireland,Northern and Western
IE05,Ireland,Ireland,Southern
IE06,Ireland,Ireland,Eastern and Midland
ITC,Italy,Northwest,
ITC1,Italy,Northwest,Piemonte
ITC2,Italy,Northwest,Valle d’Aosta/Vallée d’Aoste
ITC3,Italy,Northwest,Liguria
ITC4,Italy,Northwest,Lombardia
ITF,Italy,South,
ITF1,Italy,South,Abruzzo
ITF2,Italy,South,Molise
ITF3,Italy,South,Campania
ITF4,Italy,South,Puglia
ITF5,Italy,South,Basilicata
ITF6,Italy,South,Calabria
ITG,Italy,Islands,
ITG1,Italy,Islands,Sicilia
ITG2,Italy,Islands,Sardegna
ITH,Italy,North East,
ITH1,Italy,North East,Provincia Autonoma di Bolzano/Bozen
ITH2,Italy,North East,Provincia Autonoma di Trento
ITH3,Italy,North East,Veneto
ITH4,Italy,North East,Friuli-Venezia Giulia
ITH5,Italy,North East,Emilia-Romagna
ITI,Italy,Center,
ITI1,Italy,Center,Toscana
ITI2,Italy,Center,Umbria
ITI3,Italy,Center,Marche
ITI4,Italy,Center,Lazio
LT0,Lithuania,Lietuva,
LT01,Lithuania,Lietuva,Capital Region
LT02,Lithuania,Lietuva,Central and Western Lithuania region
LU0,Luxembourg,Luxembourg,
LU00,Luxembourg,Luxembourg,
LV0,Latvia,Latvia,
LV00,Latvia,Latvia,
ME0,Montenegro,Montenegro,
ME00,Montenegro,Montenegro,
MT0,Malta,Malta,
MT00,Malta,Malta,
NL1,Netherlands,North Netherlands,
NL11,Netherlands,North Netherlands,Groningen
NL12,Netherlands,North Netherlands,Friesland (NL)
NL13,Netherlands,North Netherlands,Drenthe
NL2,Netherlands,East Holland,
NL21,Netherlands,East Holland,Overijssel
NL22,Netherlands,East Holland,Gelderland
NL23,Netherlands,East Holland,Flevoland
NL3,Netherlands,West Netherlands,
NL31,Netherlands,West Netherlands,Utrecht
NL32,Netherlands,West Netherlands,Noord-Holland
NL33,Netherlands,West Netherlands,Zuid-Holland
NL34,Netherlands,West Netherlands,Zeeland
NL4,Netherlands,South of the Netherlands,
NL41,Netherlands,South of the Netherlands,Noord-Brabant
NL42,Netherlands,South of the Netherlands,Limburg (NL)
NO0,Norway,Norway,
NO02,Norway,Norway,Innlandet
NO06,Norway,Norway,Trøndelag
NO07,Norway,Norway,Nord-Norge
NO08,Norway,Norway,Oslo og Viken
NO09,Norway,Norway,Agder og Sør-Østlandet
NO0A,Norway,Norway,Vestlandet
PL2,Poland,Southern macroregion,
PL21,Poland,Southern macroregion,Lesser
PL22,Poland,Southern macroregion,Silesian
PL4,Poland,Northwestern Macroregion,
PL41,Poland,Northwestern Macroregion,Wielkopolskie
PL42,Poland,Northwestern Macroregion,Zachodniopomorskie
PL43,Poland,Northwestern Macroregion,Lubuskie
PL5,Poland,Southwestern macroregion,
PL51,Poland,Southwestern macroregion,Dolnoslaskie
PL52,Poland,Southwestern macroregion,Opolskie
PL6,Poland,Northern macroregion,
PL61,Poland,Northern macroregion,Kujawsko-pomorskie
PL62,Poland,Northern macroregion,Warminsko-mazurskie
PL63,Poland,Northern macroregion,Pomorskie
PL7,Poland,Central macroregion,
PL71,Poland,Central macroregion,tódzkie
PL72,Poland,Central macroregion,Swietokrzyskie
PL8,Poland,Eastern macroregion,
PL81,Poland,Eastern macroregion,Lubelskie
PL82,Poland,Eastern macroregion,Podkarpackie
PL84,Poland,Eastern macroregion,Podlaskie
PL9,Poland,Macroregion Mazowieckie Province,
PL91,Poland,Macroregion Mazowieckie Province,Warszawski stoleczny
PL92,Poland,Macroregion Mazowieckie Province,Mazowiecki regionalny
PT1,Portugal,Continente,
PT11,Portugal,Continente,Norte
PT15,Portugal,Continente,Algarve
PT16,Portugal,Continente,Centro (PT)
PT17,Portugal,Continente,Área Metropolitana de Lisboa
PT18,Portugal,Continente,Alentejo
PT2,Portugal,Região Autónoma dos Açores,
PT20,Portugal,Região Autónoma dos Açores,
PT3,Portugal,Região Autónoma da Madeira,
PT30,Portugal,Região Autónoma da Madeira,
RO1,Romania,Macroregion One,
RO11,Romania,Macroregion One,Nord-Vest
RO12,Romania,Macroregion One,Centru
RO2,Romania,Macroregion Two,
RO21,Romania,Macroregion Two,Nord-Est
RO22,Romania,Macroregion Two,Sud-Est
RO3,Romania,Macroregion Three,
RO31,Romania,Macroregion Three,Sud-Muntenia
RO32,Romania,Macroregion Three,Bucure?ti-Ilfov
RO4,Romania,Macroregion Four,
RO41,Romania,Macroregion Four,Sud-Vest Oltenia
RO42,Romania,Macroregion Four,Vest
RS1,Serbia,Serbia - North,
RS11,Serbia,Serbia - North,Belgrade region
RS12,Serbia,Serbia - North,Region of Vojvodina
RS2,Serbia,Serbia - South,
RS21,Serbia,Serbia - South,Sumadija and Western Serbia region
RS22,Serbia,Serbia - South,Region of Southern and Eastern Serbia
SE1,Sweden,East Sweden,
SE11,Sweden,East Sweden,Stockholm
SE12,Sweden,East Sweden,Östra Mellansverige
SE2,Sweden,Southern Sweden,
SE21,Sweden,Southern Sweden,Småland med öarna
SE22,Sweden,Southern Sweden,Sydsverige
SE23,Sweden,Southern Sweden,Västsverige
SE3,Sweden,North Sweden,
SE31,Sweden,North Sweden,Norra Mellansverige
SE32,Sweden,North Sweden,Mellersta Norrland
SE33,Sweden,North Sweden,Övre Norrland
SI0,Slovenia,Slovenia,
SI03,Slovenia,Slovenia,Vzhodna Slovenija
SI04,Slovenia,Slovenia,Zahodna Slovenija
SK0,Slovakia,Slovakia,
SK01,Slovakia,Slovakia,Bratislavský kraj
SK02,Slovakia,Slovakia,Západné Slovensko
SK03,Slovakia,Slovakia,Stredné Slovensko
SK04,Slovakia,Slovakia,Východné Slovensko
UKC,United Kingdom,North East (England),
UKC1,United Kingdom,North East (England),Tees Valley and Durham
UKC2,United Kingdom,North East (England),Northumberland and Tyne and Wear
UKD,United Kingdom,North West (England),
UKD1,United Kingdom,North West (England),Cumbria
UKD3,United Kingdom,North West (England),Greater Manchester
UKD4,United Kingdom,North West (England),Lancashire
UKD6,United Kingdom,North West (England),Cheshire
UKD7,United Kingdom,North West (England),Merseyside
UKE,United Kingdom,Yorkshire and the Humber,
UKE1,United Kingdom,Yorkshire and the Humber,East Yorkshire and Northern Lincolnshire
UKE2,United Kingdom,Yorkshire and the Humber,North Yorkshire
UKE3,United Kingdom,Yorkshire and the Humber,South Yorkshire
UKE4,United Kingdom,Yorkshire and the Humber,West Yorkshire
UKF,United Kingdom,East Midlands (England),
UKF1,United Kingdom,East Midlands (England),Derbyshire and Nottinghamshire
UKF2,United Kingdom,East Midlands (England),"Leicestershire, Rutland and Northamptonshire"
UKF3,United Kingdom,East Midlands (England),Lincolnshire
UKG,United Kingdom,West Midlands (England),
UKG1,United Kingdom,West Midlands (England),"Herefordshire, Worcestershire and Warwickshire"
UKG2,United Kingdom,West Midlands (England),Shropshire and Staffordshire
UKG3,United Kingdom,West Midlands (England),West Midlands
UKH,United Kingdom,East of England,
UKH1,United Kingdom,East of England,East Anglia
UKH2,United Kingdom,East of England,Bedfordshire and Hertfordshire
UKH3,United Kingdom,East of England,Essex
UKI,United Kingdom,London,
UKI3,United Kingdom,London,Inner London — West
UKI4,United Kingdom,London,Inner London — East
UKI5,United Kingdom,London,Outer London — East and North East
UKI6,United Kingdom,London,Outer London — South
UKI7,United Kingdom,London,Outer London — West and North West
UKJ,United Kingdom,South East (England),
UKJ1,United Kingdom,South East (England),"Berkshire, Buckinghamshire and Oxfordshire"
UKJ2,United Kingdom,South East (England),"Surrey, East and West Sussex"
UKJ3,United Kingdom,South East (England),Hampshire and Isle of Wight
UKJ4,United Kingdom,South East (England),Kent
UKK,United Kingdom,South West (England),
