Code,European Region,European Countries
CCE,Continental-Central-Europe,"Austria, Czech Republic, Germany, Hungary, Liechtenstein, Poland, Slovakia, Switzerland"
NEE,Northeastern-Europe," Denmark, Estonia, Latvia, Finland, Germany, Lithuania, Poland, Sweden."
NEW,Northwestern-Europe,"Belgium, Denmark, France, Germany, Luxembourg, Netherlands, Norway, Sweden, United Kingdom"
STE,Southern-Europe,"Albania, Bosnia and Herzegovina, Croatia, Cyprus, France, Greece,  Italy, Malta, Montenegro, Portugal, Romania,  Serbia, Slovenia, Spain"
SWE,Southwestern-Europe,"Portugal, Spain"
